###    First-principles Database for Compositional Optimization of Cantor Alloys   ###

#	Notes:
#		Values are presented per atom <--




--> System Information

#	Notes:
#		Molar fraction <--

     System           Cr        Mn        Fe        Co        Ni  
      Xx5            0.2       0.2       0.2       0.2       0.2  
Cr-0.05_Xx4-0.95     0.05     0.2375    0.2375    0.2375    0.2375
 Cr-0.1_Xx4-0.9      0.1      0.225     0.225     0.225     0.225 
Cr-0.15_Xx4-0.85     0.15     0.2125    0.2125    0.2125    0.2125
Cr-0.25_Xx4-0.75     0.25     0.1875    0.1875    0.1875    0.1875
 Cr-0.3_Xx4-0.7      0.3      0.175     0.175     0.175     0.175 
Mn-0.05_Xx4-0.95    0.2375     0.05     0.2375    0.2375    0.2375
 Mn-0.1_Xx4-0.9     0.225      0.1      0.225     0.225     0.225 
Mn-0.15_Xx4-0.85    0.2125     0.15     0.2125    0.2125    0.2125
Mn-0.25_Xx4-0.75    0.1875     0.25     0.1875    0.1875    0.1875
 Mn-0.3_Xx4-0.7     0.175      0.3      0.175     0.175     0.175 
Fe-0.05_Xx4-0.95    0.2375    0.2375     0.05     0.2375    0.2375
 Fe-0.1_Xx4-0.9     0.225     0.225      0.1      0.225     0.225 
Fe-0.15_Xx4-0.85    0.2125    0.2125     0.15     0.2125    0.2125
Fe-0.25_Xx4-0.75    0.1875    0.1875     0.25     0.1875    0.1875
 Fe-0.3_Xx4-0.7     0.175     0.175      0.3      0.175     0.175 
Co-0.05_Xx4-0.95    0.2375    0.2375    0.2375     0.05     0.2375
 Co-0.1_Xx4-0.9     0.225     0.225     0.225      0.1      0.225 
Co-0.15_Xx4-0.85    0.2125    0.2125    0.2125     0.15     0.2125
Co-0.25_Xx4-0.75    0.1875    0.1875    0.1875     0.25     0.1875
 Co-0.3_Xx4-0.7     0.175     0.175     0.175      0.3      0.175 
Ni-0.05_Xx4-0.95    0.2375    0.2375    0.2375    0.2375     0.05 
 Ni-0.1_Xx4-0.9     0.225     0.225     0.225     0.225      0.1  
Ni-0.15_Xx4-0.85    0.2125    0.2125    0.2125    0.2125     0.15 
Ni-0.25_Xx4-0.75    0.1875    0.1875    0.1875    0.1875     0.25 
 Ni-0.3_Xx4-0.7     0.175     0.175     0.175     0.175      0.3  


--> Equilibrium Quantities


----> Binary enthaly of mixing: H_mix^ij

#	Notes:
#		Energies in meV units <----

         Cr           Mn           Fe           Co           Ni    
Cr       0.        0.020729     -0.010364    -0.041457    -0.07255 
Mn    0.020729        0.           0.        -0.051821    -0.082914
Fe    -0.010364       0.           0.        -0.010364    -0.020729
Co    -0.041457    -0.051821    -0.010364       0.           0.    
Ni    -0.07255     -0.082914    -0.020729       0.           0.    


--> Temperature-dependent Quantities

#	Notes:
#		T: Temperature, V: Volume, rho: Solid density, G: Gibbs free en., Chi_M: Mulliken electronegativity, VEC: Valence el. con., dR: Atomic-size mismatch parameter, B:Bulk mod., S:Shear mod., Y:Young's mod.,  sigma_y: Yield str., nu_P: Poisson's ratio,  kappa_el: Electronic thermal cond., kappa_lat: Lattice thermal cond., beta: Volume thermal expansion
#		T in K,  V in 10^-30 m^3, rho in kg m^-3, G in meV, VEC: in 10^30 m^-3, dR 10^-3 dimensionless, B;S;Y in GPa , sigma_y in GPa, nu_P dimensionless, kappa_el and kappa_lat in W/m^-1 K^-1, beta: 10^-6 K^-1 units <--



----> Xx5 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
500     10.388    8923.63    -158.307    -21.899    0.763    18.08    288.578    171.942    519.846     8.301     0.251     8.566       392.186     9.647
600     10.398    8915.05    -220.072     -21.9     0.763    18.08    292.235    171.667    519.014     8.233     0.254     8.614       330.189     9.567
700     10.408    8906.6     -286.517    -21.901    0.762    18.08    297.567    171.396    518.194     8.144     0.258     8.681       287.588     9.385
800     10.418    8898.36    -357.044    -21.901    0.761    18.08    304.616    171.132    517.395     8.037     0.263     8.863       257.238     9.121
900     10.427    8890.39     -431.2     -21.902    0.761    18.08    313.379    170.876    516.623     7.916     0.269     8.809       235.109     8.793
1000    10.436    8882.74    -508.632    -21.903    0.76     18.08    323.817    170.631    515.882     7.784     0.276     8.662       218.752     8.417

----> Cr-0.3_Xx4-0.7 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.393    8878.56     16.103     -21.867    0.749    18.176    288.168    168.927    517.631     8.109     0.255     8.328       1794.21     5.955
200     10.401    8871.79    -13.814     -21.867    0.748    18.176    286.228    168.712    516.973     8.122     0.254     4.935       964.362     8.638
300     10.411    8863.75    -55.648     -21.867    0.747    18.176    284.616    168.458    516.192     8.128     0.253     5.338       645.272     9.375
400     10.421    8855.29    -106.142    -21.867    0.747    18.176    283.762    168.19     515.371     8.122     0.253     6.122       482.04      9.681
500     10.431    8846.65    -163.37     -21.868    0.746    18.176    283.861    167.916    514.534     8.103     0.253      6.64       384.367     9.816
600     10.441    8837.95    -226.116    -21.868    0.745    18.176    285.045    167.641    513.691     8.068     0.254     7.151       320.261     9.847
700     10.451    8829.27    -293.548    -21.869    0.745    18.176    287.421    167.367    512.85      8.018     0.256     7.603       275.638     9.794
800     10.461    8820.68    -365.064    -21.869    0.744    18.176    291.069    167.095    512.018     7.952     0.259     7.887       243.347     9.67 
900     10.471    8812.23    -440.209    -21.87     0.743    18.176    296.044    166.829    511.201     7.871     0.263     8.103       219.37      9.481
1000    10.481    8803.99    -518.624    -21.871    0.743    18.176    302.374    166.569    510.404     7.777     0.267     8.413       201.27      9.235

----> Mn-0.05_Xx4-0.95 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.279    9094.27     21.731     -21.951    0.788    16.586    284.279    193.914    546.069     9.869     0.222     13.019      2982.46     4.104
200     10.285    9089.02     -5.11      -21.951    0.787    16.586     283.1     193.727    545.544     9.877     0.221     11.955      1610.02     6.812
300     10.293    9082.42     -43.35     -21.951    0.786    16.586    282.011    193.493    544.884     9.88      0.221     10.539      1080.13     7.578
400      10.3     9075.39    -90.082     -21.951    0.786    16.586    281.341    193.243    544.181     9.875     0.221     10.241      809.076     7.888
500     10.309    9068.16    -143.471    -21.952    0.785    16.586    281.221    192.987    543.458     9.859     0.221     10.125      646.215     8.033
600     10.317    9060.84    -202.336    -21.952    0.784    16.586    281.73     192.727    542.728     9.831     0.221     10.021      538.511     8.093
700     10.325    9053.51    -265.865    -21.953    0.783    16.586    282.931    192.467    541.996     9.791     0.223     10.164      462.705     8.097
800     10.334    9046.2     -333.471    -21.953    0.783    16.586    284.872    192.208    541.267     9.738     0.225     10.451      407.021     8.056
900     10.342    9038.95    -404.709    -21.954    0.782    16.586    287.592    191.952    540.544     9.672     0.227     10.496      364.858     7.974
1000    10.35     9031.79    -479.232    -21.954    0.781    16.586    291.119    191.698    539.831     9.595     0.23      10.967      332.23      7.859

----> Mn-0.1_Xx4-0.9 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.29     9073.1      20.382     -21.942    0.79     17.141    286.741    187.846    539.258     9.402     0.231     12.083      2595.88     4.471
200     10.296    9067.51     -7.335     -21.942    0.79     17.141    286.435    187.653    538.703     9.394     0.231     10.094      1406.31     7.206
300     10.304    9060.59    -46.542     -21.942    0.789    17.141    286.626    187.415    538.019     9.374     0.232     10.66       949.399     7.912
400     10.313    9053.3     -94.271     -21.943    0.789    17.141    287.551    187.164    537.298     9.342     0.233     11.43       716.392     8.14 
500     10.321    9045.91    -148.67     -21.943    0.788    17.141    289.312    186.909    536.566     9.295     0.234     11.954      576.952     8.191
600     10.329    9038.51    -208.553    -21.943    0.788    17.141    291.975    186.654    535.836     9.235     0.237     12.422      485.192     8.147
700     10.338    9031.2     -273.104    -21.944    0.787    17.141    295.582    186.403    535.113     9.161     0.239     12.705      420.981     8.039
800     10.346    9024.01    -341.734    -21.945    0.786    17.141    300.161    186.155    534.403     9.075     0.243     12.866      374.116     7.883
900     10.354    9016.98    -413.994    -21.945    0.786    17.141    305.722    185.914    533.71      8.978     0.247     12.996      338.874     7.688
1000    10.362    9010.15    -489.537    -21.946    0.785    17.141    312.265    185.679    533.036     8.871     0.252      13.2       311.79      7.463

----> Mn-0.15_Xx4-0.85 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.303    9050.36     19.357     -21.929    0.784    17.569    286.47     182.028    532.683     9.008     0.238     5.252       2284.88     4.856
200     10.31     9044.36     -8.969     -21.929    0.783    17.569    285.872    181.827    532.094     9.004     0.238     7.186       1225.77     7.71 
300     10.318     9037.     -48.867     -21.929    0.782    17.569    286.019    181.58     531.372     8.984     0.238      7.57       825.086     8.446
400     10.327    9029.24    -97.313     -21.93     0.782    17.569    287.281    181.321    530.613     8.947     0.239     8.148       621.849     8.676
500     10.336    9021.39    -152.444    -21.93     0.781    17.569    289.818    181.058    529.844     8.89      0.241     8.659       500.983     8.704
600     10.345    9013.57    -213.064    -21.931    0.781    17.569    293.729    180.797    529.079     8.814     0.245     9.383       422.089     8.614
700     10.354    9005.88    -278.357    -21.931    0.78     17.569    299.071    180.54     528.327     8.719     0.249     9.917       367.451     8.441
800     10.362    8998.39    -347.73     -21.932    0.779    17.569    305.867    180.289    527.594     8.608     0.254     10.277      328.078     8.204
900     10.371    8991.14    -420.733    -21.933    0.779    17.569    314.112    180.047    526.886     8.484     0.259     10.638      298.917     7.917
1000    10.379    8984.16    -497.018    -21.933    0.778    17.569    323.772    179.815    526.205     8.35      0.266     11.012       276.9      7.592

----> Mn-0.25_Xx4-0.75 <----

 T        V         rho         G         Chi_M      VEC      dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat     beta 
100     10.332    9001.45     18.096     -21.894    0.77     18.08    284.549    173.902    523.576     8.489     0.246     13.916      1731.57     5.765 
200     10.34     8994.51    -10.857     -21.894    0.77     18.08    282.625    173.678    522.904     8.503     0.245     14.384      924.436     8.907 
300     10.35     8986.04    -51.514     -21.895    0.769    18.08    281.689    173.406    522.083     8.499     0.245     13.169      616.385     9.778 
400     10.36     8977.1     -100.763    -21.895    0.769    18.08    282.491    173.118    521.217     8.467     0.246     13.071      460.511     10.085
500     10.371    8968.01    -156.715    -21.895    0.768    18.08    285.367    172.826    520.339     8.406     0.248     12.656      368.671     10.132
600     10.381    8958.98    -218.168    -21.896    0.767    18.08    290.514    172.536    519.465     8.313     0.252     12.132      309.638     10.003
700     10.392    8950.13    -284.301    -21.897    0.767    18.08    298.034    172.252    518.61      8.193     0.258     11.854      269.631     9.737 
800     10.402    8941.58    -354.516    -21.897    0.766    18.08    307.942    171.978    517.785     8.05      0.265     11.681      241.624     9.365 
900     10.411    8933.41    -428.362    -21.898    0.765    18.08    320.18     171.716    516.996     7.89      0.273     11.438      221.644     8.912 
1000    10.42     8925.67    -505.485    -21.899    0.765    18.08    334.633    171.469    516.25      7.721     0.281     11.07       207.263     8.411 

----> Mn-0.3_Xx4-0.7 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.348    8976.54     17.682     -21.873    0.762    18.176    288.856    170.837    519.58      8.225     0.253     4.981       1745.26     5.645
200     10.356    8969.87    -11.403     -21.873    0.762    18.176    288.409    170.625    518.936     8.217     0.253     11.522      943.669     8.507
300     10.365    8961.86    -52.251     -21.874    0.761    18.176    288.822    170.371    518.164     8.195     0.254     13.537      638.159     9.207
400     10.374    8953.51    -101.71     -21.874    0.76     18.176    290.46     170.107    517.359     8.155     0.255     13.691      483.024     9.402
500     10.384    8945.09    -157.882    -21.874    0.759    18.176    293.487    169.84     516.549     8.097     0.257     13.881      390.973     9.39 
600     10.394    8936.74    -219.561    -21.875    0.759    18.176    297.996    169.576    515.746     8.022     0.261     14.563      331.158     9.255
700     10.403    8928.57    -285.921    -21.876    0.758    18.176    304.04     169.318    514.96      7.93      0.265     14.839      290.004     9.032
800     10.413    8920.63    -356.365    -21.876    0.757    18.176    311.633    169.067    514.198     7.824     0.27      14.986      260.614     8.743
900     10.422    8912.99    -430.44     -21.877    0.756    18.176    320.756    168.826    513.463     7.707     0.276     15.101      239.104     8.403
1000    10.43     8905.67    -507.791    -21.878    0.756    18.176    331.366    168.594    512.76      7.582     0.282     15.009      223.114     8.027

----> Fe-0.05_Xx4-0.95 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.323    9027.98     19.239     -21.944    0.773    18.176    286.282    176.028    524.177     8.606     0.245     14.196      1951.94     5.345
200     10.331    9021.49     -8.762     -21.944    0.773    18.176    286.197    175.817    523.549     8.593     0.245     10.631      1046.2      8.287
300     10.34     9013.63    -48.426     -21.944    0.772    18.176    287.279    175.562    522.789     8.56      0.246     9.938       707.733     8.992
400     10.349    9005.43    -96.668     -21.945    0.771    18.176    289.879    175.296    521.997     8.504     0.248     10.974      537.123     9.157
500     10.359    8997.21    -151.609    -21.945    0.77     18.176    294.153    175.029    521.202     8.426     0.252     11.572      436.422     9.097
600     10.368    8989.1     -212.049    -21.946    0.77     18.176    300.179    174.767    520.42      8.327     0.256     11.964      371.315     8.904
700     10.377    8981.23    -277.167    -21.946    0.769    18.176    307.985    174.512    519.66      8.21      0.262     12.466      326.75      8.621
800     10.386    8973.64    -346.369    -21.947    0.768    18.176    317.551    174.266    518.929     8.078     0.268     12.582      295.084     8.273
900     10.394    8966.39    -419.205    -21.948    0.768    18.176    328.823    174.031    518.231     7.937     0.275     12.522      272.012     7.88 
1000    10.402    8959.52    -495.321    -21.949    0.767    18.176    341.715    173.809    517.568     7.789     0.283     12.461      254.909     7.46 

----> Fe-0.1_Xx4-0.9 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.322    9026.91     18.809     -21.933    0.775    18.124    286.858    176.506    525.246     8.629     0.245     21.288      1980.52     5.289
200     10.329    9020.49     -9.657     -21.934    0.774    18.124    286.796    176.297    524.623     8.616     0.245     16.004      1063.24     8.205
300     10.338    9012.71    -49.777     -21.934    0.774    18.124    287.853    176.044    523.869     8.584     0.246     16.67       719.291     8.905
400     10.347    9004.59    -98.474     -21.934    0.773    18.124    290.379    175.78     523.083     8.529     0.248     18.347      545.711     9.071
500     10.357    8996.44    -153.868    -21.935    0.772    18.124    294.528    175.515    522.294     8.453     0.251     19.373      443.137     9.017
600     10.366    8988.4     -214.76     -21.935    0.772    18.124    300.379    175.253    521.517     8.356     0.256     19.968      376.723     8.834
700     10.375    8980.58    -280.33     -21.936    0.771    18.124    307.96     174.999    520.761     8.241     0.261     19.874      331.18      8.561
800     10.384    8973.04    -349.983    -21.937    0.77     18.124    317.258    174.755    520.032     8.112     0.267     20.257      298.746     8.225
900     10.392    8965.83    -423.267    -21.937    0.77     18.124    328.221    174.521    519.336     7.973     0.274     20.444      275.048     7.844
1000     10.4     8958.99    -499.833    -21.938    0.769    18.124    340.77     174.298    518.675     7.828     0.282     20.226      257.421     7.436

----> Fe-0.15_Xx4-0.85 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.32     9026.48     18.637     -21.923    0.775    18.025    286.724    177.027    526.641     8.666     0.244     10.835      1983.94     5.28 
200     10.327    9020.05    -10.037     -21.924    0.775    18.025    286.417    176.817    526.016     8.657     0.244     8.941       1062.7      8.221
300     10.336    9012.25     -50.36     -21.924    0.774    18.025    287.174    176.562    525.258     8.628     0.245     9.393       716.482     8.946
400     10.345    9004.08    -99.255     -21.924    0.773    18.025    289.413    176.296    524.465     8.577     0.247     10.383      541.603     9.134
500     10.355    8995.86    -154.847    -21.925    0.772    18.025    293.317    176.028    523.667     8.504     0.25      11.126      438.218     9.097
600     10.364    8987.75    -215.935    -21.925    0.772    18.025    298.981    175.763    522.881     8.408     0.254     11.279      371.269     8.927
700     10.373    8979.84    -281.701    -21.926    0.771    18.025    306.446    175.505    522.114     8.293     0.26      11.677      325.364     8.662
800     10.382    8972.22    -351.548    -21.927    0.77     18.025    315.704    175.257    521.375     8.162     0.266     12.019      292.684     8.328
900     10.39     8964.92    -425.028    -21.927    0.77     18.025    326.705    175.019    520.668     8.02      0.273     11.904      268.825     7.945
1000    10.398    8957.98    -501.786    -21.928    0.769    18.025    339.369    174.794    519.997     7.871     0.28      11.972      251.104     7.532

----> Fe-0.25_Xx4-0.75 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.314    9026.38     18.732     -21.901    0.775    17.685    287.725    177.821    528.665     8.704     0.244     8.312       1992.7      5.257
200     10.322    9019.98     -9.902     -21.901    0.775    17.685    287.456    177.611    528.04      8.694     0.244     8.128       1067.01     8.202
300     10.331    9012.19    -50.174     -21.902    0.774    17.685    288.264    177.355    527.281     8.665     0.245     9.312       719.646     8.927
400     10.34     9004.04    -99.015     -21.902    0.773    17.685    290.559    177.088    526.486     8.613     0.247     10.251      544.248     9.113
500     10.349    8995.84    -154.55     -21.902    0.773    17.685    294.522    176.82     525.688     8.539     0.25      10.678      440.573     9.075
600     10.359    8987.75    -215.58     -21.903    0.772    17.685    300.246    176.555     524.9      8.442     0.254     10.999      373.443     8.903
700     10.368    8979.87    -281.285    -21.904    0.771    17.685    307.769    176.297    524.133     8.326     0.26      11.459      327.418     8.637
800     10.376    8972.26    -351.071    -21.904    0.771    17.685    317.082    176.048    523.393     8.195     0.266     11.674      294.654     8.302
900     10.385    8964.99    -424.488    -21.905    0.77     17.685    328.134    175.81     522.686     8.053     0.273     11.702      270.734     7.92 
1000    10.393    8958.07    -501.183    -21.906    0.769    17.685    340.846    175.584    522.014     7.903     0.28      11.774      252.967     7.507

----> Fe-0.3_Xx4-0.7 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.311    9026.64     18.953     -21.888    0.776    17.439    290.079    178.137    529.489     8.69      0.245     13.361      2047.02     5.144
