###    First-principles Database for Compositional Optimization of Cantor Alloys   ###

#	Notes:
#		Values are presented per atom <--




--> System Information

#	Notes:
#		Molar fraction <--

             System                 Cr     Mn     Fe     Co     Ni      Nb       Mo  
              Xx5                   0.2    0.2    0.2    0.2    0.2     0.       0.  
     Cr-0.1_Nb-0.1_Xx4-0.8          0.1    0.2    0.2    0.2    0.2     0.1      0.  
Cr-0.1_Nb-0.075_Mo-0.025_Xx4-0.8    0.1    0.2    0.2    0.2    0.2    0.075    0.025
 Cr-0.1_Nb-0.05_Mo-0.05_Xx4-0.8     0.1    0.2    0.2    0.2    0.2    0.05     0.05 
Cr-0.1_Nb-0.025_Mo-0.075_Xx4-0.8    0.1    0.2    0.2    0.2    0.2    0.025    0.075
     Cr-0.1_Mo-0.1_Xx4-0.8          0.1    0.2    0.2    0.2    0.2     0.       0.1 
     Mn-0.1_Nb-0.1_Xx4-0.8          0.2    0.1    0.2    0.2    0.2     0.1      0.  
Mn-0.1_Nb-0.075_Mo-0.025_Xx4-0.8    0.2    0.1    0.2    0.2    0.2    0.075    0.025
 Mn-0.1_Nb-0.05_Mo-0.05_Xx4-0.8     0.2    0.1    0.2    0.2    0.2    0.05     0.05 
Mn-0.1_Nb-0.025_Mo-0.075_Xx4-0.8    0.2    0.1    0.2    0.2    0.2    0.025    0.075
     Mn-0.1_Mo-0.1_Xx4-0.8          0.2    0.1    0.2    0.2    0.2     0.       0.1 
     Fe-0.1_Nb-0.1_Xx4-0.8          0.2    0.2    0.1    0.2    0.2     0.1      0.  
Fe-0.1_Nb-0.075_Mo-0.025_Xx4-0.8    0.2    0.2    0.1    0.2    0.2    0.075    0.025
 Fe-0.1_Nb-0.05_Mo-0.05_Xx4-0.8     0.2    0.2    0.1    0.2    0.2    0.05     0.05 
Fe-0.1_Nb-0.025_Mo-0.075_Xx4-0.8    0.2    0.2    0.1    0.2    0.2    0.025    0.075
     Fe-0.1_Mo-0.1_Xx4-0.8          0.2    0.2    0.1    0.2    0.2     0.       0.1 
     Co-0.1_Nb-0.1_Xx4-0.8          0.2    0.2    0.2    0.1    0.2     0.1      0.  
Co-0.1_Nb-0.075_Mo-0.025_Xx4-0.8    0.2    0.2    0.2    0.1    0.2    0.075    0.025
 Co-0.1_Nb-0.05_Mo-0.05_Xx4-0.8     0.2    0.2    0.2    0.1    0.2    0.05     0.05 
Co-0.1_Nb-0.025_Mo-0.075_Xx4-0.8    0.2    0.2    0.2    0.1    0.2    0.025    0.075
     Co-0.1_Mo-0.1_Xx4-0.8          0.2    0.2    0.2    0.1    0.2     0.       0.1 
     Ni-0.1_Nb-0.1_Xx4-0.8          0.2    0.2    0.2    0.2    0.1     0.1      0.  
Ni-0.1_Nb-0.075_Mo-0.025_Xx4-0.8    0.2    0.2    0.2    0.2    0.1    0.075    0.025
 Ni-0.1_Nb-0.05_Mo-0.05_Xx4-0.8     0.2    0.2    0.2    0.2    0.1    0.05     0.05 
Ni-0.1_Nb-0.025_Mo-0.075_Xx4-0.8    0.2    0.2    0.2    0.2    0.1    0.025    0.075
     Ni-0.1_Mo-0.1_Xx4-0.8          0.2    0.2    0.2    0.2    0.1     0.       0.1 


--> Equilibrium Quantities


----> Binary enthaly of mixing: H_mix^ij

#	Notes:
#		Energies in meV units <----

         Cr           Mn           Fe           Co           Ni           Nb           Mo    
Cr       0.        0.020729     -0.010364    -0.041457    -0.07255     -0.07255        0.    
Mn    0.020729        0.           0.        -0.051821    -0.082914    -0.041457    0.051821 
Fe    -0.010364       0.           0.        -0.010364    -0.020729    -0.165828    -0.020729
Co    -0.041457    -0.051821    -0.010364       0.           0.        -0.259107    -0.051821
Ni    -0.07255     -0.082914    -0.020729       0.           0.        -0.310928    -0.07255 
Nb    -0.07255     -0.041457    -0.165828    -0.259107    -0.310928       0.        -0.062186
Mo       0.        0.051821     -0.020729    -0.051821    -0.07255     -0.062186       0.    


--> Temperature-dependent Quantities

#	Notes:
#		T: Temperature, V: Volume, rho: Solid density, G: Gibbs free en., Chi_M: Mulliken electronegativity, VEC: Valence el. con., dR: Atomic-size mismatch parameter, B:Bulk mod., S:Shear mod., Y:Young's mod.,  sigma_y: Yield str., nu_P: Poisson's ratio,  kappa_el: Electronic thermal cond., kappa_lat: Lattice thermal cond., beta: Volume thermal expansion
#		T in K,  V in 10^-30 m^3, rho in kg m^-3, G in meV, VEC: in 10^30 m^-3, dR 1^-3 dimensionless, B;S;Y in GPa , sigma_y in GPa, nu_P dimensionless, kappa_el and kappa_lat in W/m^-1 K^-1, beta: 10^-6 K^-1 units <--



----> Xx5 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
500     10.71     9352.78    -163.979    -22.389    0.75     24.393    316.589    186.183    561.098     8.845     0.254      6.82       436.187     8.491
600     10.719    9344.9     -226.755    -22.389    0.749    24.393    322.053    185.922    560.31      8.757     0.258     7.077       369.133     8.354
700     10.728    9337.2     -294.167    -22.39     0.749    24.393    329.255    185.667    559.54      8.65      0.263     7.435       322.966     8.133
800     10.737    9329.73    -365.619    -22.391    0.748    24.393    338.197    185.419    558.795     8.529     0.268     7.702       289.942     7.851
900     10.745    9322.56    -440.66     -22.392    0.748    24.393    348.845    185.182    558.079     8.396     0.274      7.83       265.703     7.523
1000    10.753    9315.72    -518.937    -22.392    0.747    24.393    361.133    184.955    557.396     8.256     0.281     7.998       247.604     7.166

----> Cr-0.1_Nb-0.025_Mo-0.075_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.653    9414.92     17.076     -22.443    0.756    24.393    312.923    188.098    567.141     9.019     0.25      9.002       2028.43     4.803
200     10.66     9408.83    -13.182     -22.444    0.756    24.393    312.955    187.895    566.53      9.005     0.25      10.438      1096.08     7.46 
300     10.668    9401.45    -55.022     -22.444    0.755    24.393    314.009    187.649    565.789     8.975     0.251      8.97       742.067     8.102
400     10.677    9393.74    -105.385    -22.444    0.755    24.393    316.393    187.393    565.016     8.925     0.253     8.326       562.491     8.265
500     10.686    9385.98    -162.396    -22.445    0.754    24.393    320.244    187.135    564.239     8.857     0.255     8.734       455.839     8.237
600     10.695    9378.31    -224.859    -22.446    0.753    24.393    325.635    186.88     563.47      8.772     0.259     9.033       386.363     8.101
700     10.703    9370.81    -291.955    -22.446    0.753    24.393    332.599    186.631    562.719     8.67      0.264     9.233       338.362     7.891
800     10.711    9363.53    -363.09     -22.447    0.752    24.393    341.135    186.39     561.992     8.555     0.269     9.359       303.868     7.626
900     10.72     9356.54    -437.813    -22.448    0.752    24.393    351.211    186.158    561.292     8.43      0.275     9.551       278.401     7.323
1000    10.727    9349.84    -515.772    -22.449    0.751    24.393    362.772    185.936    560.623     8.297     0.281     9.812       259.24      6.991

----> Cr-0.1_Mo-0.1_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.631    9446.6      17.896     -22.498    0.76     24.393     314.6      189.9     571.096     9.113     0.249     7.552       2122.95     4.628
200     10.637    9440.67    -11.717     -22.498    0.76     24.393    314.487    189.702    570.499     9.102     0.249     9.711       1145.5      7.266
300     10.645    9433.44    -52.876     -22.499    0.759    24.393    315.234    189.46     569.771     9.075     0.25      11.053      774.002     7.918
400     10.654    9425.87    -102.545    -22.499    0.759    24.393    317.161    189.206    569.009     9.032     0.251     11.263      585.25      8.101
500     10.663    9418.23    -158.855     -22.5     0.758    24.393    320.404    188.951    568.24      8.972     0.254     11.346      472.878      8.1 
600     10.671    9410.65    -220.615     -22.5     0.757    24.393    325.041    188.697    567.478     8.895     0.257     11.343      399.441     7.996
700     10.68     9403.2     -287.005    -22.501    0.757    24.393    331.113    188.449    566.73      8.802     0.261     11.889      348.499     7.82 
800     10.688    9395.96    -357.432    -22.502    0.756    24.393    338.632    188.207    566.002     8.696     0.266     12.114      311.712     7.591
900     10.696    9388.95    -431.447    -22.502    0.756    24.393    347.581    187.973    565.299     8.579     0.271     12.431      284.396     7.322
1000    10.704    9382.21    -508.697    -22.503    0.755    24.393    357.923    187.748    564.623     8.454     0.277     12.53       263.708     7.024

----> Mn-0.1_Nb-0.1_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.767    9234.88     16.128     -22.239    0.743    24.393    307.413    201.348    578.693     9.986     0.231     1.535       2287.8       5.1 
200     10.774    9228.69    -14.376     -22.24     0.743    24.393    306.531    201.124    578.047     9.985     0.231     2.764       1241.72     7.647
300     10.783    9221.28    -56.618     -22.24     0.742    24.393    306.088    200.855    577.274     9.974     0.231      3.17       840.324     8.295
400     10.792    9213.52    -107.439    -22.24     0.742    24.393    306.32     200.573    576.464     9.951     0.231     3.571       635.131     8.521
500     10.801    9205.63    -164.935    -22.241    0.741    24.393    307.331    200.287    575.641     9.915     0.232     3.984       512.297     8.591
600     10.81     9197.73     -227.9     -22.242    0.74     24.393    309.188     200.      574.818     9.866     0.234     4.448       431.549     8.576
700     10.82     9189.87    -295.509    -22.242    0.74     24.393    311.943    199.716     574.       9.803     0.236     4.691       375.178     8.502
800     10.829    9182.11    -367.161    -22.243    0.739    24.393    315.634    199.435    573.193     9.727     0.239     4.954       334.202     8.38 
900     10.838    9174.49    -442.403    -22.244    0.739    24.393    320.285    199.159     572.4      9.639     0.242     5.153       303.582     8.219
1000    10.846    9167.04    -520.88     -22.244    0.738    24.393    325.908    198.889    571.626     9.54      0.246     5.253       280.27      8.026

----> Mn-0.1_Nb-0.075_Mo-0.025_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.739    9270.73     16.066     -22.306    0.736    24.393    309.872    199.509    578.62      9.821     0.235     1.108       2218.81     5.032
200     10.746    9264.57    -14.712     -22.307    0.736    24.393    309.267    199.288    577.979     9.816     0.235     1.662       1205.29     7.61 
300     10.755    9257.16    -57.186     -22.307    0.735    24.393    309.241    199.023    577.21      9.799     0.235     2.462       816.807     8.254
400     10.764    9249.41    -108.223    -22.307    0.734    24.393    310.029    198.745    576.404     9.767     0.236     3.256       618.546     8.461
500     10.773    9241.56    -165.928    -22.308    0.734    24.393    311.737    198.464    575.589     9.722     0.237     3.863       500.072     8.504
600     10.782    9233.72    -229.096    -22.309    0.733    24.393    314.434    198.184    574.776     9.662     0.24      4.334       422.349     8.456
700     10.791    9225.96    -296.904    -22.309    0.732    24.393    318.168    197.906    573.971     9.587     0.242     4.622       368.217     8.346
800      10.8     9218.34    -368.754    -22.31     0.732    24.393    322.972    197.634    573.18       9.5      0.246     4.952       328.97      8.187
900     10.809    9210.88    -444.191    -22.311    0.731    24.393    328.859    197.367    572.408      9.4      0.25      5.123       299.724     7.987
1000    10.817    9203.63    -522.863    -22.312    0.731    24.393    335.831    197.109    571.657     9.29      0.255     5.215       277.519     7.756

----> Mn-0.1_Nb-0.05_Mo-0.05_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.712    9305.75     16.27      -22.37     0.74     24.393    311.372    195.959    576.04      9.56      0.24      0.588       2189.4      4.908
200     10.719    9299.68    -14.464     -22.37     0.74     24.393    310.636    195.746    575.414     9.557     0.24      1.863       1186.67     7.489
300     10.727    9292.36     -56.86     -22.371    0.739    24.393    310.527    195.489    574.659     9.541     0.24      2.988       801.743     8.144
400     10.736    9284.68    -107.808    -22.371    0.739    24.393    311.354    195.219    573.868     9.511     0.241     3.785       605.277     8.358
500     10.745    9276.89    -165.417    -22.372    0.738    24.393    313.255    194.947    573.066     9.464     0.242     4.047       487.921     8.402
600     10.754    9269.12    -228.485    -22.373    0.737    24.393    316.315    194.674    572.266     9.401     0.245     4.445       410.985     8.349
700     10.763    9261.43    -296.19     -22.374    0.737    24.393    320.596    194.406    571.475     9.323     0.248     4.587       357.45      8.228
800     10.772    9253.89    -367.933    -22.374    0.736    24.393    326.131    194.142     570.7      9.229     0.252     4.839       318.677     8.053
900     10.781    9246.54    -443.265    -22.375    0.736    24.393    332.935    193.885    569.944     9.123     0.256     4.955       289.814     7.834
1000    10.789    9239.42    -521.829    -22.376    0.735    24.393    341.001    193.636    569.213     9.006     0.261     5.128       267.919     7.58 

----> Mn-0.1_Nb-0.025_Mo-0.075_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.687    9339.6      16.647     -22.431    0.744    24.393    312.157    192.729    574.021     9.334     0.244     3.534       2096.67     4.906
200     10.694    9333.48    -13.845     -22.432    0.744    24.393    311.063    192.518    573.394     9.336     0.243     4.452       1130.04     7.561
300     10.702    9326.04    -55.969     -22.432    0.743    24.393    310.614    192.262    572.632     9.325     0.243     4.749       759.944     8.259
400     10.711    9318.21    -106.634    -22.433    0.743    24.393    311.258    191.993    571.831     9.298     0.244     4.439       571.352     8.499
500     10.72     9310.25    -163.955    -22.434    0.742    24.393    313.185    191.72     571.018     9.252     0.246     4.414       458.93      8.557
600     10.729    9302.31    -226.731    -22.434    0.742    24.393    316.517    191.448    570.206     9.187     0.248     4.474       385.434     8.506
700     10.739    9294.45    -294.142    -22.435    0.741    24.393    321.331    191.178    569.403     9.103     0.252     4.669       334.479     8.376
800     10.747    9286.76    -365.591    -22.436    0.74     24.393    327.671    190.914    568.618     9.002     0.256     4.874       297.745     8.181
900     10.756    9279.27    -440.626    -22.437    0.74     24.393    335.55     190.658    567.855     8.886     0.261     5.072       270.554     7.933
1000    10.764    9272.05    -518.894    -22.438    0.739    24.393    344.949    190.411    567.118     8.758     0.267     5.229       250.067     7.646

----> Mn-0.1_Mo-0.1_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.662    9372.93     17.379     -22.491    0.749    24.393    315.793    190.62     572.983     9.143     0.249     2.357       2079.2      4.788
200     10.669    9366.92    -12.506     -22.491    0.748    24.393    315.506    190.417    572.371     9.134     0.249     4.419       1126.52     7.385
300     10.677    9359.65    -53.997     -22.492    0.748    24.393    316.059    190.17     571.63      9.11      0.249     4.528       762.435     8.026
400     10.686    9352.03    -104.016    -22.492    0.747    24.393    317.763    189.912    570.855     9.07      0.251     4.386       577.107     8.211
500     10.695    9344.35    -160.687    -22.493    0.746    24.393    320.757    189.652    570.073     9.012     0.253     4.752       466.689     8.215
600     10.703    9336.71    -222.811    -22.494    0.746    24.393    325.124    189.394    569.297     8.938     0.256     4.967       394.508     8.117
700     10.712    9329.21    -289.567    -22.495    0.745    24.393    330.913    189.141    568.535     8.848     0.26      5.122       344.439     7.949
800     10.72     9321.9     -360.36     -22.495    0.744    24.393    338.142    188.894    567.792     8.745     0.265      5.32       308.297     7.726
900     10.729    9314.82    -434.738    -22.496    0.744    24.393    346.802    188.655    567.074     8.63      0.27      5.595       281.48      7.462
1000    10.736    9308.01    -512.349    -22.497    0.743    24.393    356.864    188.425    566.383     8.506     0.276     5.866       261.199     7.167

----> Fe-0.1_Nb-0.1_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat     beta 
100     10.816    9178.59     13.942     -22.181    0.732    24.034    304.552    191.133    563.615     9.341     0.24      0.975       1321.18     6.978 
200     10.826    9170.62    -17.733     -22.181    0.731    24.034    303.774    190.856     562.8      9.334     0.24      2.269       747.334     9.677 
300     10.837    9161.41    -61.353     -22.181    0.731    24.034    304.572    190.537    561.858     9.301     0.241     3.582       505.74      10.273
400     10.848    9151.94    -113.619    -22.181    0.73     24.034    307.325    190.209    560.89      9.238     0.243     4.242       380.707     10.367
500     10.859    9142.51    -172.593    -22.182    0.729    24.034    312.202    189.882    559.927     9.146     0.247      4.56       305.862     10.236
600     10.87     9133.27    -237.054    -22.182    0.729    24.034    319.282    189.563    558.984     9.026     0.252     4.703       256.591     9.962 
700     10.881    9124.34    -306.169    -22.183    0.728    24.034    328.574    189.254    558.074     8.885     0.258     4.833       221.484     9.586 
800     10.891    9115.8     -379.334    -22.183    0.728    24.034    340.029    188.959    557.203     8.726     0.266     4.858       193.255     9.139 
900     10.901    9107.69    -456.093    -22.184    0.727    24.034    353.551    188.679    556.378     8.557     0.273     4.995       148.755     8.643 
1000    10.91     9100.06    -536.089    -22.184    0.726    24.034    369.007    188.415    555.601     8.382     0.282     5.172       132.172     8.124 

----> Fe-0.1_Nb-0.075_Mo-0.025_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
100     10.785    9217.11     14.274     -22.251    0.723    24.034    306.327    202.372    580.73     10.074     0.229     7.183       1833.05     6.223
200     10.793    9209.79    -17.441     -22.251    0.723    24.034    304.755    202.104    579.962    10.082     0.228     4.847       996.829     8.97 
300     10.804    9201.15    -61.029     -22.251    0.722    24.034     304.      201.788    579.055    10.073     0.228     4.461       670.796     9.683
400     10.814    9192.11    -113.239    -22.251    0.721    24.034    304.53     201.458    578.107    10.041     0.229     4.548       504.329     9.926
500     10.825    9182.96    -172.146    -22.252    0.721    24.034    306.557    201.124    577.148     9.985     0.231     4.569       405.362     9.969
600     10.836    9173.84    -236.533    -22.252    0.72     24.034    310.217    200.791    576.193     9.903     0.234     4.796       341.036     9.885
700     10.846    9164.85    -305.569    -22.253    0.719    24.034    315.599    200.463    575.253     9.796     0.238     4.864       296.838     9.702
800     10.857    9156.08    -378.651    -22.253    0.718    24.034    322.747    200.144    574.335     9.668     0.243     4.913       265.378     9.438
900     10.867    9147.59    -455.325    -22.254    0.718    24.034    331.664    199.835    573.448     9.521     0.249     4.974       242.495     9.108
1000    10.877    9139.43    -535.234    -22.255    0.717    24.034    342.314    199.538    572.596     9.36      0.256      5.06       225.658     8.731

----> Fe-0.1_Nb-0.05_Mo-0.05_Xx4-0.8 <----

 T        V         rho         G         Chi_M      VEC       dR         B          S          Y       sigma_y    nu_P     kappa_el    kappa_lat    beta 
